# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.084038436412811279e-01 3.888422846794128418e-01 1.062392711639404297e+00
1.000000000000000000e+03 4.957364290021359921e-04 5.308769759722054005e-04 3.925503045320510864e-02
2.000000000000000000e+03 1.829857355915009975e-04 1.728276110952720046e-04 2.239777706563472748e-02
3.000000000000000000e+03 1.014631998259574175e-04 1.048291815095581114e-04 1.744373328983783722e-02
4.000000000000000000e+03 8.160260767908766866e-05 8.598993736086413264e-05 1.579873077571392059e-02
5.000000000000000000e+03 9.900142322294414043e-05 8.331259596161544323e-05 1.555083412677049637e-02
6.000000000000000000e+03 5.894166315556503832e-05 6.683396350126713514e-05 1.392826437950134277e-02
7.000000000000000000e+03 5.039923780714161694e-05 5.998600317980162799e-05 1.319542340934276581e-02
8.000000000000000000e+03 4.364386040833778679e-05 5.459006933961063623e-05 1.258795335888862610e-02
9.000000000000000000e+03 3.821802238235250115e-05 5.020225944463163614e-05 1.207146514207124710e-02
1.000000000000000000e+04 3.409840792301110923e-05 4.661603452404960990e-05 1.163231115788221359e-02
1.100000000000000000e+04 3.325345096527598798e-05 4.479922063183039427e-05 1.140337903052568436e-02
1.200000000000000000e+04 2.747315011220052838e-05 3.927649595425464213e-05 1.067738048732280731e-02
1.300000000000000000e+04 2.410273918940220028e-05 3.501267201500013471e-05 1.008117105811834335e-02
1.400000000000000000e+04 3.043072319997008890e-05 4.763589095091447234e-05 1.175886858254671097e-02
1.500000000000000000e+04 1.443917608412448317e-05 2.139885873475577682e-05 7.881224155426025391e-03
1.600000000000000000e+04 1.827536470955237746e-04 1.777587312972173095e-04 2.271505631506443024e-02
1.700000000000000000e+04 3.364444637554697692e-06 6.579316050192574039e-06 4.370073322206735611e-03
1.800000000000000000e+04 1.347811462437675800e-06 3.259757932028151117e-06 3.076033666729927063e-03
1.900000000000000000e+04 6.747733323209104128e-07 1.905508838717651088e-06 2.351818606257438660e-03
2.000000000000000000e+04 4.244238596129434882e-07 1.295872152695665136e-06 1.939453883096575737e-03
